id;name;important_info;jhi_usage;initial_count;promised;refill_info;pharmacy_notes
1;Haven;Executive;online modular;Supervisor;Bermudian Dollar (customarily known as Bermuda Dollar) Checking Account;2020-01-14T14:20:22;International
2;JSON TCP;driver proactive;ivory Marketing;invoice Car Borders;Checking Account Delaware;2020-01-14T21:20:38;benchmark AI
3;Cotton array Guinea;protocol Digitized;Rubber withdrawal robust;hack Developer Tasty;deposit Implementation Sleek;2020-01-14T15:37:30;Creative orchestrate blue
4;redefine;systems Chair;Toys;SMTP deposit capacitor;Licensed Concrete Cheese object-oriented Investment Account;2020-01-15T11:57:34;Investment Account visualize
5;definition;methodologies logistical Granite;Architect;ADP Oklahoma;Borders;2020-01-14T20:49:53;Metal withdrawal PCI
6;info-mediaries;Benin;Palestinian Territory sensor;Towels Clothing;parse Gorgeous Rubber Salad;2020-01-15T10:15:19;Small Soft Computer Frozen
7;systemic coherent Tasty Rubber Shirt;bus methodical optical;Borders content-based Refined;Function-based;Metal redundant;2020-01-15T01:31:33;Fantastic
8;Locks Won;array Savings Account Cotton;Seamless systematic wireless;Granite model Bedfordshire;Implementation North Dakota;2020-01-14T21:24:12;Palladium Intelligent
9;Designer circuit calculating;Producer;Saint Pierre and Miquelon Micronesia;Fiji;backing up transform Lane;2020-01-14T23:13:50;PNG
10;Assurance;open-source indigo Dominican Republic;Officer;Florida Infrastructure SDR;Cambridgeshire;2020-01-14T15:34:01;Gorgeous
